case,form,backend,runtime,xex_bytes,min_cycles,max_cycles,raw_local_bytes,opt_local_bytes,raw_capture_bytes,opt_capture_bytes,raw_copy_sites,opt_copy_sites,raw_copy_bytes,opt_copy_bytes,raw_tag_compares,opt_tag_compares,raw_compares,opt_compares,raw_fault_sites,opt_fault_sites
event_dispatch,manual,classic,cart,343,370,398,5,5,5,5,1,1,5,5,6,5,8,7,1,1
event_dispatch,manual,classic,standalone,361,370,398,5,5,5,5,1,1,5,5,6,5,8,7,1,1
event_dispatch,manual,mir6502,cart,234,147,148,5,5,5,5,1,1,5,5,6,5,8,7,1,1
event_dispatch,manual,mir6502,standalone,254,147,148,5,5,5,5,1,1,5,5,6,5,8,7,1,1
event_dispatch,adt,classic,cart,663,1007,1062,33,33,15,15,3,3,15,15,6,5,10,9,2,2
event_dispatch,adt,classic,standalone,685,1007,1062,33,33,15,15,3,3,15,15,6,5,10,9,2,2
event_dispatch,adt,mir6502,cart,587,595,645,33,33,15,15,3,3,15,15,6,5,10,9,2,2
event_dispatch,adt,mir6502,standalone,605,595,645,33,33,15,15,3,3,15,15,6,5,10,9,2,2
guard_snapshot,manual,classic,cart,261,406,406,5,5,5,5,1,1,5,5,4,3,5,4,1,1
guard_snapshot,manual,classic,standalone,279,406,406,5,5,5,5,1,1,5,5,4,3,5,4,1,1
guard_snapshot,manual,mir6502,cart,191,170,170,5,5,5,5,1,1,5,5,4,3,5,4,1,1
guard_snapshot,manual,mir6502,standalone,211,170,170,5,5,5,5,1,1,5,5,4,3,5,4,1,1
guard_snapshot,adt,classic,cart,557,1714,1714,29,29,15,15,3,3,15,15,4,3,7,6,1,1
guard_snapshot,adt,classic,standalone,579,1714,1714,29,29,15,15,3,3,15,15,4,3,7,6,1,1
guard_snapshot,adt,mir6502,cart,489,1070,1070,29,29,15,15,3,3,15,15,4,3,7,6,1,1
guard_snapshot,adt,mir6502,standalone,507,1070,1070,29,29,15,15,3,3,15,15,4,3,7,6,1,1
nested_result,manual,classic,cart,483,632,680,16,16,9,9,2,2,6,6,10,9,12,11,2,2
nested_result,manual,classic,standalone,501,632,680,16,16,9,9,2,2,6,6,10,9,12,11,2,2
nested_result,manual,mir6502,cart,373,314,345,16,16,9,9,2,2,6,6,10,9,12,11,2,2
nested_result,manual,mir6502,standalone,393,314,345,16,16,9,9,2,2,6,6,10,9,12,11,2,2
nested_result,adt,classic,cart,821,632,1010,28,28,11,11,1,1,2,2,11,9,16,14,3,3
nested_result,adt,classic,standalone,843,632,1010,28,28,11,11,1,1,2,2,11,9,16,14,3,3
nested_result,adt,mir6502,cart,604,444,658,28,28,11,11,1,1,2,2,11,9,16,14,3,3
nested_result,adt,mir6502,standalone,622,444,658,28,28,11,11,1,1,2,2,11,9,16,14,3,3
