case,form,backend,runtime,xex_bytes,min_cycles,max_cycles,raw_homes,raw_loads,raw_stores,opt_homes,opt_loads,opt_stores
byte_once,mutable,classic,cart,34,22,22,1,1,1,0,0,0
byte_once,mutable,classic,standalone,34,22,22,1,1,1,0,0,0
byte_once,mutable,mir6502,cart,29,18,18,1,1,1,0,0,0
byte_once,mutable,mir6502,standalone,29,18,18,1,1,1,0,0,0
byte_once,fresh,classic,cart,34,22,22,1,1,1,0,0,0
byte_once,fresh,classic,standalone,34,22,22,1,1,1,0,0,0
byte_once,fresh,mir6502,cart,29,18,18,1,1,1,0,0,0
byte_once,fresh,mir6502,standalone,29,18,18,1,1,1,0,0,0
byte_once,let,classic,cart,34,22,22,1,1,1,0,0,0
byte_once,let,classic,standalone,34,22,22,1,1,1,0,0,0
byte_once,let,mir6502,cart,29,18,18,1,1,1,0,0,0
byte_once,let,mir6502,standalone,29,18,18,1,1,1,0,0,0
byte_chain,mutable,classic,cart,42,32,32,1,3,3,0,0,0
byte_chain,mutable,classic,standalone,42,32,32,1,3,3,0,0,0
byte_chain,mutable,mir6502,cart,31,20,20,1,3,3,0,0,0
byte_chain,mutable,mir6502,standalone,31,20,20,1,3,3,0,0,0
byte_chain,fresh,classic,cart,44,32,32,3,3,3,0,0,0
byte_chain,fresh,classic,standalone,44,32,32,3,3,3,0,0,0
byte_chain,fresh,mir6502,cart,31,20,20,3,3,3,0,0,0
byte_chain,fresh,mir6502,standalone,31,20,20,3,3,3,0,0,0
byte_chain,let,classic,cart,44,32,32,3,3,3,0,0,0
byte_chain,let,classic,standalone,44,32,32,3,3,3,0,0,0
byte_chain,let,mir6502,cart,31,20,20,3,3,3,0,0,0
byte_chain,let,mir6502,standalone,31,20,20,3,3,3,0,0,0
word_chain,mutable,classic,cart,77,76,76,1,3,3,0,0,0
word_chain,mutable,classic,standalone,77,76,76,1,3,3,0,0,0
word_chain,mutable,mir6502,cart,65,68,68,1,3,3,0,0,0
word_chain,mutable,mir6502,standalone,65,68,68,1,3,3,0,0,0
word_chain,fresh,classic,cart,78,72,72,3,3,3,0,0,0
word_chain,fresh,classic,standalone,78,72,72,3,3,3,0,0,0
word_chain,fresh,mir6502,cart,65,68,68,3,3,3,0,0,0
word_chain,fresh,mir6502,standalone,65,68,68,3,3,3,0,0,0
word_chain,let,classic,cart,78,72,72,3,3,3,0,0,0
word_chain,let,classic,standalone,78,72,72,3,3,3,0,0,0
word_chain,let,mir6502,cart,65,68,68,3,3,3,0,0,0
word_chain,let,mir6502,standalone,65,68,68,3,3,3,0,0,0
table_relay,mutable,classic,cart,83,69,69,1,2,2,0,0,0
table_relay,mutable,classic,standalone,83,69,69,1,2,2,0,0,0
table_relay,mutable,mir6502,cart,85,76,76,1,2,2,0,0,0
table_relay,mutable,mir6502,standalone,85,76,76,1,2,2,0,0,0
table_relay,fresh,classic,cart,84,69,69,2,2,2,2,2,2
table_relay,fresh,classic,standalone,84,69,69,2,2,2,2,2,2
table_relay,fresh,mir6502,cart,83,69,69,2,2,2,2,2,2
table_relay,fresh,mir6502,standalone,83,69,69,2,2,2,2,2,2
table_relay,let,classic,cart,84,69,69,2,2,2,2,2,2
table_relay,let,classic,standalone,84,69,69,2,2,2,2,2,2
table_relay,let,mir6502,cart,83,69,69,2,2,2,2,2,2
table_relay,let,mir6502,standalone,83,69,69,2,2,2,2,2,2
indexed_table_relay,mutable,classic,cart,98,95,95,1,2,2,0,0,0
indexed_table_relay,mutable,classic,standalone,98,95,95,1,2,2,0,0,0
indexed_table_relay,mutable,mir6502,cart,76,65,65,1,2,2,0,0,0
indexed_table_relay,mutable,mir6502,standalone,76,65,65,1,2,2,0,0,0
indexed_table_relay,fresh,classic,cart,99,95,95,2,2,2,2,2,2
indexed_table_relay,fresh,classic,standalone,99,95,95,2,2,2,2,2,2
indexed_table_relay,fresh,mir6502,cart,86,75,75,2,2,2,2,2,2
indexed_table_relay,fresh,mir6502,standalone,86,75,75,2,2,2,2,2,2
indexed_table_relay,let,classic,cart,99,95,95,2,2,2,2,2,2
indexed_table_relay,let,classic,standalone,99,95,95,2,2,2,2,2,2
indexed_table_relay,let,mir6502,cart,86,75,75,2,2,2,2,2,2
indexed_table_relay,let,mir6502,standalone,86,75,75,2,2,2,2,2,2
branch_snapshot,mutable,classic,cart,56,39,50,1,3,2,1,2,1
branch_snapshot,mutable,classic,standalone,56,39,50,1,3,2,1,2,1
branch_snapshot,mutable,mir6502,cart,52,35,46,1,3,2,1,2,1
branch_snapshot,mutable,mir6502,standalone,52,35,46,1,3,2,1,2,1
branch_snapshot,fresh,classic,cart,57,39,50,2,3,2,1,2,1
branch_snapshot,fresh,classic,standalone,57,39,50,2,3,2,1,2,1
branch_snapshot,fresh,mir6502,cart,52,35,46,2,3,2,1,2,1
branch_snapshot,fresh,mir6502,standalone,52,35,46,2,3,2,1,2,1
branch_snapshot,let,classic,cart,57,39,50,2,3,2,1,2,1
branch_snapshot,let,classic,standalone,57,39,50,2,3,2,1,2,1
branch_snapshot,let,mir6502,cart,52,35,46,2,3,2,1,2,1
branch_snapshot,let,mir6502,standalone,52,35,46,2,3,2,1,2,1
call_snapshot,mutable,classic,cart,49,50,50,1,2,2,1,1,1
call_snapshot,mutable,classic,standalone,49,50,50,1,2,2,1,1,1
call_snapshot,mutable,mir6502,cart,45,46,46,1,2,2,1,1,1
call_snapshot,mutable,mir6502,standalone,45,46,46,1,2,2,1,1,1
call_snapshot,fresh,classic,cart,50,50,50,2,2,2,1,1,1
call_snapshot,fresh,classic,standalone,50,50,50,2,2,2,1,1,1
call_snapshot,fresh,mir6502,cart,45,46,46,2,2,2,1,1,1
call_snapshot,fresh,mir6502,standalone,45,46,46,2,2,2,1,1,1
call_snapshot,let,classic,cart,50,50,50,2,2,2,1,1,1
call_snapshot,let,classic,standalone,50,50,50,2,2,2,1,1,1
call_snapshot,let,mir6502,cart,45,46,46,2,2,2,1,1,1
call_snapshot,let,mir6502,standalone,45,46,46,2,2,2,1,1,1
