case,form,backend,runtime,xex_bytes,min_cycles,max_cycles
if,statement,Optimized,ActionCart,50,37,46
if,statement,Optimized,Standalone,50,37,46
if,statement,Mir6502,ActionCart,53,24,26
if,statement,Mir6502,Standalone,53,24,26
if,expression,Optimized,ActionCart,60,48,54
if,expression,Optimized,Standalone,60,48,54
if,expression,Mir6502,ActionCart,53,24,26
if,expression,Mir6502,Standalone,53,24,26
case,statement,Optimized,ActionCart,80,45,69
case,statement,Optimized,Standalone,80,45,69
case,statement,Mir6502,ActionCart,59,39,50
case,statement,Mir6502,Standalone,59,39,50
case,expression,Optimized,ActionCart,93,56,80
case,expression,Optimized,Standalone,93,56,80
case,expression,Mir6502,ActionCart,59,39,50
case,expression,Mir6502,Standalone,59,39,50
known_some,statement,Optimized,ActionCart,152,178,178
known_some,statement,Optimized,Standalone,174,178,178
known_some,statement,Mir6502,ActionCart,37,24,24
known_some,statement,Mir6502,Standalone,37,24,24
known_some,expression,Optimized,ActionCart,156,182,182
known_some,expression,Optimized,Standalone,178,182,182
known_some,expression,Mir6502,ActionCart,37,24,24
known_some,expression,Mir6502,Standalone,37,24,24
dynamic_variant,statement,Optimized,ActionCart,326,325,342
dynamic_variant,statement,Optimized,Standalone,348,325,342
dynamic_variant,statement,Mir6502,ActionCart,209,126,155
dynamic_variant,statement,Mir6502,Standalone,227,126,155
dynamic_variant,expression,Optimized,ActionCart,336,333,350
dynamic_variant,expression,Optimized,Standalone,358,333,350
dynamic_variant,expression,Mir6502,ActionCart,209,126,155
dynamic_variant,expression,Mir6502,Standalone,227,126,155
