target,shape,case,stage,copy_sites,copied_bytes,capture_bytes,exact_copy_endpoints,unknown_copy_endpoints
Atari6502,record,fresh_call,raw,2,6,9,3,1
Atari6502,record,fresh_call,optimized,2,6,9,3,1
Atari6502,record,capture_chain,raw,4,12,12,7,1
Atari6502,record,capture_chain,optimized,3,9,9,5,1
Atari6502,record,snapshot_mutation,raw,4,12,12,6,2
Atari6502,record,snapshot_mutation,optimized,4,12,12,6,2
Atari6502,record,ordered_arguments,raw,6,18,21,9,3
Atari6502,record,ordered_arguments,optimized,6,18,21,9,3
Atari6502,union,fresh_call,raw,2,6,9,3,1
Atari6502,union,fresh_call,optimized,2,6,9,3,1
Atari6502,union,capture_chain,raw,4,12,12,7,1
Atari6502,union,capture_chain,optimized,3,9,9,5,1
Atari6502,union,snapshot_mutation,raw,4,12,12,6,2
Atari6502,union,snapshot_mutation,optimized,4,12,12,6,2
Atari6502,union,ordered_arguments,raw,6,18,21,9,3
Atari6502,union,ordered_arguments,optimized,6,18,21,9,3
Atari6502,variant,fresh_call,raw,2,8,16,3,1
Atari6502,variant,fresh_call,optimized,2,8,16,3,1
Atari6502,variant,capture_chain,raw,4,16,20,7,1
Atari6502,variant,capture_chain,optimized,3,12,16,5,1
Atari6502,variant,snapshot_mutation,raw,5,20,24,8,2
Atari6502,variant,snapshot_mutation,optimized,5,20,24,8,2
Atari6502,variant,ordered_arguments,raw,7,28,36,11,3
Atari6502,variant,ordered_arguments,optimized,7,28,36,11,3
Motorola68000,record,fresh_call,raw,1,3,6,2,0
Motorola68000,record,fresh_call,optimized,1,3,6,2,0
Motorola68000,record,capture_chain,raw,4,12,12,7,1
Motorola68000,record,capture_chain,optimized,3,9,9,5,1
Motorola68000,record,snapshot_mutation,raw,4,12,12,6,2
Motorola68000,record,snapshot_mutation,optimized,4,12,12,6,2
Motorola68000,record,ordered_arguments,raw,5,15,18,8,2
Motorola68000,record,ordered_arguments,optimized,5,15,18,8,2
Motorola68000,union,fresh_call,raw,1,4,8,2,0
Motorola68000,union,fresh_call,optimized,1,4,8,2,0
Motorola68000,union,capture_chain,raw,4,16,16,7,1
Motorola68000,union,capture_chain,optimized,3,12,12,5,1
Motorola68000,union,snapshot_mutation,raw,4,16,16,6,2
Motorola68000,union,snapshot_mutation,optimized,4,16,16,6,2
Motorola68000,union,ordered_arguments,raw,5,20,24,8,2
Motorola68000,union,ordered_arguments,optimized,5,20,24,8,2
Motorola68000,variant,fresh_call,raw,1,4,12,2,0
Motorola68000,variant,fresh_call,optimized,1,4,12,2,0
Motorola68000,variant,capture_chain,raw,4,16,20,7,1
Motorola68000,variant,capture_chain,optimized,3,12,16,5,1
Motorola68000,variant,snapshot_mutation,raw,5,20,24,8,2
Motorola68000,variant,snapshot_mutation,optimized,5,20,24,8,2
Motorola68000,variant,ordered_arguments,raw,6,24,32,10,2
Motorola68000,variant,ordered_arguments,optimized,6,24,32,10,2
Wdc65816Small,record,fresh_call,raw,1,3,6,2,0
Wdc65816Small,record,fresh_call,optimized,1,3,6,2,0
Wdc65816Small,record,capture_chain,raw,4,12,12,7,1
Wdc65816Small,record,capture_chain,optimized,3,9,9,5,1
Wdc65816Small,record,snapshot_mutation,raw,4,12,12,6,2
Wdc65816Small,record,snapshot_mutation,optimized,4,12,12,6,2
Wdc65816Small,record,ordered_arguments,raw,5,15,18,8,2
Wdc65816Small,record,ordered_arguments,optimized,5,15,18,8,2
Wdc65816Small,union,fresh_call,raw,1,4,8,2,0
Wdc65816Small,union,fresh_call,optimized,1,4,8,2,0
Wdc65816Small,union,capture_chain,raw,4,16,16,7,1
Wdc65816Small,union,capture_chain,optimized,3,12,12,5,1
Wdc65816Small,union,snapshot_mutation,raw,4,16,16,6,2
Wdc65816Small,union,snapshot_mutation,optimized,4,16,16,6,2
Wdc65816Small,union,ordered_arguments,raw,5,20,24,8,2
Wdc65816Small,union,ordered_arguments,optimized,5,20,24,8,2
Wdc65816Small,variant,fresh_call,raw,1,4,12,2,0
Wdc65816Small,variant,fresh_call,optimized,1,4,12,2,0
Wdc65816Small,variant,capture_chain,raw,4,16,20,7,1
Wdc65816Small,variant,capture_chain,optimized,3,12,16,5,1
Wdc65816Small,variant,snapshot_mutation,raw,5,20,24,8,2
Wdc65816Small,variant,snapshot_mutation,optimized,5,20,24,8,2
Wdc65816Small,variant,ordered_arguments,raw,6,24,32,10,2
Wdc65816Small,variant,ordered_arguments,optimized,6,24,32,10,2
