shape,case,backend,runtime,xex_bytes,min_cycles,max_cycles,raw_copy_sites,opt_copy_sites,raw_copied_bytes,opt_copied_bytes,raw_capture_bytes,opt_capture_bytes,initial_mir_copy_sites
record,fresh_call,classic,ActionCart,468,874,874,2,2,6,6,9,9,n/a
record,fresh_call,mir-raw,ActionCart,261,340,340,2,2,6,6,9,9,3
record,fresh_call,mir-optimized,ActionCart,272,352,352,2,2,6,6,9,9,3
record,fresh_call,classic,Standalone,468,874,874,2,2,6,6,9,9,n/a
record,fresh_call,mir-raw,Standalone,261,340,340,2,2,6,6,9,9,3
record,fresh_call,mir-optimized,Standalone,272,352,352,2,2,6,6,9,9,3
record,capture_chain,classic,ActionCart,575,1174,1174,4,4,12,12,12,12,n/a
record,capture_chain,mir-raw,ActionCart,300,388,388,4,4,12,12,12,12,5
record,capture_chain,mir-optimized,ActionCart,311,400,400,4,4,12,12,12,12,5
record,capture_chain,classic,Standalone,575,1174,1174,4,4,12,12,12,12,n/a
record,capture_chain,mir-raw,Standalone,300,388,388,4,4,12,12,12,12,5
record,capture_chain,mir-optimized,Standalone,311,400,400,4,4,12,12,12,12,5
record,snapshot_mutation,classic,ActionCart,624,1662,1662,4,4,12,12,12,12,n/a
record,snapshot_mutation,mir-raw,ActionCart,379,620,620,4,4,12,12,12,12,5
record,snapshot_mutation,mir-optimized,ActionCart,380,622,622,4,4,12,12,12,12,5
record,snapshot_mutation,classic,Standalone,624,1662,1662,4,4,12,12,12,12,n/a
record,snapshot_mutation,mir-raw,Standalone,379,620,620,4,4,12,12,12,12,5
record,snapshot_mutation,mir-optimized,Standalone,380,622,622,4,4,12,12,12,12,5
record,ordered_arguments,classic,ActionCart,900,2491,2491,6,6,18,18,21,21,n/a
record,ordered_arguments,mir-raw,ActionCart,586,1068,1068,6,6,18,18,21,21,9
record,ordered_arguments,mir-optimized,ActionCart,586,1069,1069,6,6,18,18,21,21,9
record,ordered_arguments,classic,Standalone,985,2491,2491,6,6,18,18,21,21,n/a
record,ordered_arguments,mir-raw,Standalone,668,1068,1068,6,6,18,18,21,21,9
record,ordered_arguments,mir-optimized,Standalone,668,1069,1069,6,6,18,18,21,21,9
union,fresh_call,classic,ActionCart,468,874,874,2,2,6,6,9,9,n/a
union,fresh_call,mir-raw,ActionCart,261,340,340,2,2,6,6,9,9,3
union,fresh_call,mir-optimized,ActionCart,272,352,352,2,2,6,6,9,9,3
union,fresh_call,classic,Standalone,468,874,874,2,2,6,6,9,9,n/a
union,fresh_call,mir-raw,Standalone,261,340,340,2,2,6,6,9,9,3
union,fresh_call,mir-optimized,Standalone,272,352,352,2,2,6,6,9,9,3
union,capture_chain,classic,ActionCart,575,1174,1174,4,4,12,12,12,12,n/a
union,capture_chain,mir-raw,ActionCart,300,388,388,4,4,12,12,12,12,5
union,capture_chain,mir-optimized,ActionCart,311,400,400,4,4,12,12,12,12,5
union,capture_chain,classic,Standalone,575,1174,1174,4,4,12,12,12,12,n/a
union,capture_chain,mir-raw,Standalone,300,388,388,4,4,12,12,12,12,5
union,capture_chain,mir-optimized,Standalone,311,400,400,4,4,12,12,12,12,5
union,snapshot_mutation,classic,ActionCart,624,1662,1662,4,4,12,12,12,12,n/a
union,snapshot_mutation,mir-raw,ActionCart,379,620,620,4,4,12,12,12,12,5
union,snapshot_mutation,mir-optimized,ActionCart,380,622,622,4,4,12,12,12,12,5
union,snapshot_mutation,classic,Standalone,624,1662,1662,4,4,12,12,12,12,n/a
union,snapshot_mutation,mir-raw,Standalone,379,620,620,4,4,12,12,12,12,5
union,snapshot_mutation,mir-optimized,Standalone,380,622,622,4,4,12,12,12,12,5
union,ordered_arguments,classic,ActionCart,900,2491,2491,6,6,18,18,21,21,n/a
union,ordered_arguments,mir-raw,ActionCart,586,1068,1068,6,6,18,18,21,21,9
union,ordered_arguments,mir-optimized,ActionCart,586,1069,1069,6,6,18,18,21,21,9
union,ordered_arguments,classic,Standalone,985,2491,2491,6,6,18,18,21,21,n/a
union,ordered_arguments,mir-raw,Standalone,668,1068,1068,6,6,18,18,21,21,9
union,ordered_arguments,mir-optimized,Standalone,668,1069,1069,6,6,18,18,21,21,9
variant,fresh_call,classic,ActionCart,470,837,837,2,2,8,8,16,16,n/a
variant,fresh_call,mir-raw,ActionCart,378,439,439,2,2,8,8,16,16,3
variant,fresh_call,mir-optimized,ActionCart,378,441,441,2,2,8,8,16,16,3
variant,fresh_call,classic,Standalone,492,837,837,2,2,8,8,16,16,n/a
variant,fresh_call,mir-raw,Standalone,396,439,439,2,2,8,8,16,16,3
variant,fresh_call,mir-optimized,Standalone,396,441,441,2,2,8,8,16,16,3
variant,capture_chain,classic,ActionCart,730,1345,1345,4,4,16,16,20,20,n/a
variant,capture_chain,mir-raw,ActionCart,584,743,743,4,4,16,16,20,20,5
variant,capture_chain,mir-optimized,ActionCart,616,793,793,4,4,16,16,20,20,5
variant,capture_chain,classic,Standalone,752,1345,1345,4,4,16,16,20,20,n/a
variant,capture_chain,mir-raw,Standalone,602,743,743,4,4,16,16,20,20,5
variant,capture_chain,mir-optimized,Standalone,634,793,793,4,4,16,16,20,20,5
variant,snapshot_mutation,classic,ActionCart,857,1790,1790,5,5,20,20,24,24,n/a
variant,snapshot_mutation,mir-raw,ActionCart,645,906,906,5,5,20,20,24,24,6
variant,snapshot_mutation,mir-optimized,ActionCart,657,926,926,5,5,20,20,24,24,6
variant,snapshot_mutation,classic,Standalone,879,1790,1790,5,5,20,20,24,24,n/a
variant,snapshot_mutation,mir-raw,Standalone,663,906,906,5,5,20,20,24,24,6
variant,snapshot_mutation,mir-optimized,Standalone,675,926,926,5,5,20,20,24,24,6
variant,ordered_arguments,classic,ActionCart,1178,2757,2757,7,7,28,28,36,36,n/a
variant,ordered_arguments,mir-raw,ActionCart,851,1326,1326,7,7,28,28,36,36,10
variant,ordered_arguments,mir-optimized,ActionCart,846,1321,1321,7,7,28,28,36,36,10
variant,ordered_arguments,classic,Standalone,1263,2757,2757,7,7,28,28,36,36,n/a
variant,ordered_arguments,mir-raw,Standalone,951,1326,1326,7,7,28,28,36,36,10
variant,ordered_arguments,mir-optimized,Standalone,946,1321,1321,7,7,28,28,36,36,10
