target,shape,case,stage,copy_sites,copied_bytes,capture_bytes,exact_copy_endpoints,unknown_copy_endpoints
Atari6502,record,fresh_call,raw,2,6,9,3,1
Atari6502,record,fresh_call,optimized,2,6,9,3,1
Atari6502,record,capture_chain,raw,4,12,12,7,1
Atari6502,record,capture_chain,optimized,3,9,9,5,1
Atari6502,record,snapshot_mutation,raw,4,12,12,6,2
Atari6502,record,snapshot_mutation,optimized,4,12,12,6,2
Atari6502,record,ordered_arguments,raw,6,18,21,9,3
Atari6502,record,ordered_arguments,optimized,6,18,21,9,3
Atari6502,record,abi_arguments,raw,6,18,24,10,2
Atari6502,record,abi_arguments,optimized,4,12,18,6,2
Atari6502,record,abi_return,raw,3,9,12,5,1
Atari6502,record,abi_return,optimized,2,6,9,3,1
Atari6502,union,fresh_call,raw,2,6,9,3,1
Atari6502,union,fresh_call,optimized,2,6,9,3,1
Atari6502,union,capture_chain,raw,4,12,12,7,1
Atari6502,union,capture_chain,optimized,3,9,9,5,1
Atari6502,union,snapshot_mutation,raw,4,12,12,6,2
Atari6502,union,snapshot_mutation,optimized,4,12,12,6,2
Atari6502,union,ordered_arguments,raw,6,18,21,9,3
Atari6502,union,ordered_arguments,optimized,6,18,21,9,3
Atari6502,union,abi_arguments,raw,6,18,24,10,2
Atari6502,union,abi_arguments,optimized,4,12,18,6,2
Atari6502,union,abi_return,raw,3,9,12,5,1
Atari6502,union,abi_return,optimized,2,6,9,3,1
Atari6502,variant,fresh_call,raw,2,8,16,3,1
Atari6502,variant,fresh_call,optimized,1,4,12,1,1
Atari6502,variant,capture_chain,raw,4,16,20,7,1
Atari6502,variant,capture_chain,optimized,1,4,8,1,1
Atari6502,variant,snapshot_mutation,raw,5,20,24,8,2
Atari6502,variant,snapshot_mutation,optimized,3,12,16,4,2
Atari6502,variant,ordered_arguments,raw,7,28,36,11,3
Atari6502,variant,ordered_arguments,optimized,5,20,28,7,3
Atari6502,variant,abi_arguments,raw,7,28,40,11,3
Atari6502,variant,abi_arguments,optimized,4,16,28,5,3
Atari6502,variant,abi_return,raw,3,12,20,5,1
Atari6502,variant,abi_return,optimized,1,4,12,1,1
Motorola68000,record,fresh_call,raw,1,3,6,2,0
Motorola68000,record,fresh_call,optimized,1,3,6,2,0
Motorola68000,record,capture_chain,raw,4,12,12,7,1
Motorola68000,record,capture_chain,optimized,3,9,9,5,1
Motorola68000,record,snapshot_mutation,raw,4,12,12,6,2
Motorola68000,record,snapshot_mutation,optimized,4,12,12,6,2
Motorola68000,record,ordered_arguments,raw,5,15,18,8,2
Motorola68000,record,ordered_arguments,optimized,5,15,18,8,2
Motorola68000,record,abi_arguments,raw,4,12,18,8,0
Motorola68000,record,abi_arguments,optimized,2,6,12,4,0
Motorola68000,record,abi_return,raw,2,6,9,4,0
Motorola68000,record,abi_return,optimized,1,3,6,2,0
Motorola68000,union,fresh_call,raw,1,4,8,2,0
Motorola68000,union,fresh_call,optimized,1,4,8,2,0
Motorola68000,union,capture_chain,raw,4,16,16,7,1
Motorola68000,union,capture_chain,optimized,3,12,12,5,1
Motorola68000,union,snapshot_mutation,raw,4,16,16,6,2
Motorola68000,union,snapshot_mutation,optimized,4,16,16,6,2
Motorola68000,union,ordered_arguments,raw,5,20,24,8,2
Motorola68000,union,ordered_arguments,optimized,5,20,24,8,2
Motorola68000,union,abi_arguments,raw,4,16,24,8,0
Motorola68000,union,abi_arguments,optimized,2,8,16,4,0
Motorola68000,union,abi_return,raw,2,8,12,4,0
Motorola68000,union,abi_return,optimized,1,4,8,2,0
Motorola68000,variant,fresh_call,raw,1,4,12,2,0
Motorola68000,variant,fresh_call,optimized,0,0,8,0,0
Motorola68000,variant,capture_chain,raw,4,16,20,7,1
Motorola68000,variant,capture_chain,optimized,1,4,8,1,1
Motorola68000,variant,snapshot_mutation,raw,5,20,24,8,2
Motorola68000,variant,snapshot_mutation,optimized,3,12,16,4,2
Motorola68000,variant,ordered_arguments,raw,6,24,32,10,2
Motorola68000,variant,ordered_arguments,optimized,4,16,24,6,2
Motorola68000,variant,abi_arguments,raw,5,20,32,9,1
Motorola68000,variant,abi_arguments,optimized,2,8,20,3,1
Motorola68000,variant,abi_return,raw,2,8,16,4,0
Motorola68000,variant,abi_return,optimized,0,0,8,0,0
Wdc65816Small,record,fresh_call,raw,1,3,6,2,0
Wdc65816Small,record,fresh_call,optimized,1,3,6,2,0
Wdc65816Small,record,capture_chain,raw,4,12,12,7,1
