shape,case,backend,runtime,xex_bytes,min_cycles,max_cycles,raw_copy_sites,opt_copy_sites,raw_copied_bytes,opt_copied_bytes,raw_capture_bytes,opt_capture_bytes,initial_mir_copy_sites,initial_mir_copied_bytes,mapped_routine_storage_bytes,mapped_routine_code_bytes
record,fresh_call,classic,ActionCart,468,874,874,2,2,6,6,9,9,n/a,n/a,18,446
record,fresh_call,mir-raw,ActionCart,261,340,340,2,2,6,6,9,9,3,9,18,226
record,fresh_call,mir-optimized,ActionCart,272,352,352,2,2,6,6,9,9,3,9,19,236
record,fresh_call,classic,Standalone,468,874,874,2,2,6,6,9,9,n/a,n/a,18,446
record,fresh_call,mir-raw,Standalone,261,340,340,2,2,6,6,9,9,3,9,18,226
record,fresh_call,mir-optimized,Standalone,272,352,352,2,2,6,6,9,9,3,9,19,236
record,capture_chain,classic,ActionCart,575,1174,1174,4,3,12,9,12,9,n/a,n/a,21,553
record,capture_chain,mir-raw,ActionCart,300,388,388,4,3,12,9,12,9,5,15,21,262
record,capture_chain,mir-optimized,ActionCart,290,376,376,4,3,12,9,12,9,4,12,19,254
record,capture_chain,classic,Standalone,575,1174,1174,4,3,12,9,12,9,n/a,n/a,21,553
record,capture_chain,mir-raw,Standalone,300,388,388,4,3,12,9,12,9,5,15,21,262
record,capture_chain,mir-optimized,Standalone,290,376,376,4,3,12,9,12,9,4,12,19,254
record,snapshot_mutation,classic,ActionCart,624,1662,1662,4,4,12,12,12,12,n/a,n/a,24,602
record,snapshot_mutation,mir-raw,ActionCart,379,620,620,4,4,12,12,12,12,5,15,27,335
record,snapshot_mutation,mir-optimized,ActionCart,380,622,622,4,4,12,12,12,12,5,15,27,336
record,snapshot_mutation,classic,Standalone,624,1662,1662,4,4,12,12,12,12,n/a,n/a,24,602
record,snapshot_mutation,mir-raw,Standalone,379,620,620,4,4,12,12,12,12,5,15,27,335
record,snapshot_mutation,mir-optimized,Standalone,380,622,622,4,4,12,12,12,12,5,15,27,336
record,ordered_arguments,classic,ActionCart,900,2491,2491,6,6,18,18,21,21,n/a,n/a,44,878
record,ordered_arguments,mir-raw,ActionCart,586,1068,1068,6,6,18,18,21,21,9,27,47,522
record,ordered_arguments,mir-optimized,ActionCart,586,1069,1069,6,6,18,18,21,21,9,27,47,522
record,ordered_arguments,classic,Standalone,985,2491,2491,6,6,18,18,21,21,n/a,n/a,45,963
record,ordered_arguments,mir-raw,Standalone,668,1068,1068,6,6,18,18,21,21,9,27,48,603
record,ordered_arguments,mir-optimized,Standalone,668,1069,1069,6,6,18,18,21,21,9,27,48,603
record,abi_arguments,classic,ActionCart,915,2172,2172,6,4,18,12,24,18,n/a,n/a,47,893
record,abi_arguments,mir-raw,ActionCart,572,922,922,6,4,18,12,24,18,10,30,50,505
record,abi_arguments,mir-optimized,ActionCart,532,878,878,6,4,18,12,24,18,8,24,44,471
record,abi_arguments,classic,Standalone,1000,2172,2172,6,4,18,12,24,18,n/a,n/a,48,978
record,abi_arguments,mir-raw,Standalone,654,922,922,6,4,18,12,24,18,10,30,51,586
record,abi_arguments,mir-optimized,Standalone,614,878,878,6,4,18,12,24,18,8,24,45,552
record,abi_return,classic,ActionCart,523,1024,1024,3,2,9,6,12,9,n/a,n/a,21,501
record,abi_return,mir-raw,ActionCart,282,364,364,3,2,9,6,12,9,4,12,21,244
record,abi_return,mir-optimized,ActionCart,272,352,352,3,2,9,6,12,9,3,9,19,236
record,abi_return,classic,Standalone,523,1024,1024,3,2,9,6,12,9,n/a,n/a,21,501
record,abi_return,mir-raw,Standalone,282,364,364,3,2,9,6,12,9,4,12,21,244
record,abi_return,mir-optimized,Standalone,272,352,352,3,2,9,6,12,9,3,9,19,236
union,fresh_call,classic,ActionCart,468,874,874,2,2,6,6,9,9,n/a,n/a,18,446
union,fresh_call,mir-raw,ActionCart,261,340,340,2,2,6,6,9,9,3,9,18,226
union,fresh_call,mir-optimized,ActionCart,272,352,352,2,2,6,6,9,9,3,9,19,236
union,fresh_call,classic,Standalone,468,874,874,2,2,6,6,9,9,n/a,n/a,18,446
union,fresh_call,mir-raw,Standalone,261,340,340,2,2,6,6,9,9,3,9,18,226
union,fresh_call,mir-optimized,Standalone,272,352,352,2,2,6,6,9,9,3,9,19,236
union,capture_chain,classic,ActionCart,575,1174,1174,4,3,12,9,12,9,n/a,n/a,21,553
union,capture_chain,mir-raw,ActionCart,300,388,388,4,3,12,9,12,9,5,15,21,262
union,capture_chain,mir-optimized,ActionCart,290,376,376,4,3,12,9,12,9,4,12,19,254
union,capture_chain,classic,Standalone,575,1174,1174,4,3,12,9,12,9,n/a,n/a,21,553
union,capture_chain,mir-raw,Standalone,300,388,388,4,3,12,9,12,9,5,15,21,262
union,capture_chain,mir-optimized,Standalone,290,376,376,4,3,12,9,12,9,4,12,19,254
union,snapshot_mutation,classic,ActionCart,624,1662,1662,4,4,12,12,12,12,n/a,n/a,24,602
union,snapshot_mutation,mir-raw,ActionCart,379,620,620,4,4,12,12,12,12,5,15,27,335
union,snapshot_mutation,mir-optimized,ActionCart,380,622,622,4,4,12,12,12,12,5,15,27,336
union,snapshot_mutation,classic,Standalone,624,1662,1662,4,4,12,12,12,12,n/a,n/a,24,602
union,snapshot_mutation,mir-raw,Standalone,379,620,620,4,4,12,12,12,12,5,15,27,335
union,snapshot_mutation,mir-optimized,Standalone,380,622,622,4,4,12,12,12,12,5,15,27,336
union,ordered_arguments,classic,ActionCart,900,2491,2491,6,6,18,18,21,21,n/a,n/a,44,878
union,ordered_arguments,mir-raw,ActionCart,586,1068,1068,6,6,18,18,21,21,9,27,47,522
union,ordered_arguments,mir-optimized,ActionCart,586,1069,1069,6,6,18,18,21,21,9,27,47,522
union,ordered_arguments,classic,Standalone,985,2491,2491,6,6,18,18,21,21,n/a,n/a,45,963
union,ordered_arguments,mir-raw,Standalone,668,1068,1068,6,6,18,18,21,21,9,27,48,603
union,ordered_arguments,mir-optimized,Standalone,668,1069,1069,6,6,18,18,21,21,9,27,48,603
union,abi_arguments,classic,ActionCart,915,2172,2172,6,4,18,12,24,18,n/a,n/a,47,893
union,abi_arguments,mir-raw,ActionCart,572,922,922,6,4,18,12,24,18,10,30,50,505
union,abi_arguments,mir-optimized,ActionCart,532,878,878,6,4,18,12,24,18,8,24,44,471
