configuration,benchmark,nir,code_bytes,instructions,max_frame_bytes,stack_read_bytes,stack_write_bytes
baseline,insertsort,raw,1934,7379,200,4169,3429
baseline,insertsort,optimized,1604,5437,136,2125,1843
baseline,matrix1,raw,1712,115116,182,76131,46179
baseline,matrix1,optimized,990,71806,68,24373,13969
baseline,matrix1-multidimensional,raw,2152,225104,210,121727,87303
baseline,matrix1-multidimensional,optimized,1332,144051,88,53741,31777
baseline,binarysearch,raw,1074,9179,134,2001,1483
baseline,binarysearch,optimized,754,8302,68,885,737
baseline,sha,raw,5238,25989,862,19235,16114
baseline,sha,optimized,3196,14924,452,8453,7090
baseline,jfdctint,raw,8552,50558,1504,26794,20342
baseline,jfdctint,optimized,5768,38767,742,13560,10432
baseline,jfdctint-multidimensional,raw,10784,58814,2316,31322,25870
baseline,jfdctint-multidimensional,optimized,6658,43279,886,15398,12982
baseline,adpcm_dec,raw,9868,19902,818,12053,9404
baseline,adpcm_dec,optimized,7842,15153,692,8300,6340
baseline,adpcm_enc,raw,12964,2407187,842,1142310,688221
baseline,adpcm_enc,optimized,10034,1892709,724,421070,264561
static,insertsort,raw,1934,7379,200,4169,3429
static,insertsort,optimized,1604,5437,136,2125,1843
static,matrix1,raw,1712,115116,182,76131,46179
static,matrix1,optimized,990,71806,68,24373,13969
static,matrix1-multidimensional,raw,2152,225104,210,121727,87303
static,matrix1-multidimensional,optimized,1332,144051,88,53741,31777
static,binarysearch,raw,1074,9179,134,2001,1483
static,binarysearch,optimized,754,8302,68,885,737
static,sha,raw,5238,25989,862,19235,16114
static,sha,optimized,3196,14924,452,8453,7090
static,jfdctint,raw,8552,50558,1504,26794,20342
static,jfdctint,optimized,5768,38767,742,13560,10432
static,jfdctint-multidimensional,raw,10784,58814,2316,31322,25870
static,jfdctint-multidimensional,optimized,6658,43279,886,15398,12982
static,adpcm_dec,raw,9868,19902,818,12053,9404
static,adpcm_dec,optimized,7842,15153,692,8300,6340
static,adpcm_enc,raw,12964,2407187,842,1142310,688221
static,adpcm_enc,optimized,10034,1892709,724,421070,264561
guards-only,insertsort,raw,2358,8531,200,4169,3429
guards-only,insertsort,optimized,2028,6589,136,2125,1843
guards-only,matrix1,raw,2070,129216,182,76131,46179
guards-only,matrix1,optimized,1348,85906,68,24373,13969
guards-only,matrix1-multidimensional,raw,2314,187704,210,121727,87303
guards-only,matrix1-multidimensional,optimized,1494,106651,88,53741,31777
guards-only,binarysearch,raw,1328,9331,134,2001,1483
guards-only,binarysearch,optimized,1008,8454,68,885,737
guards-only,sha,raw,7088,28190,862,19235,16114
guards-only,sha,optimized,5048,17125,452,8469,7090
guards-only,jfdctint,raw,9518,47870,1504,26794,20342
guards-only,jfdctint,optimized,6734,36079,742,13560,10432
guards-only,jfdctint-multidimensional,raw,11684,54526,2316,31322,25870
guards-only,jfdctint-multidimensional,optimized,7558,38991,886,15398,12982
guards-only,adpcm_dec,raw,11390,18992,818,12053,9404
guards-only,adpcm_dec,optimized,9364,14243,692,8300,6340
guards-only,adpcm_enc,raw,14482,2401847,842,1142310,688221
guards-only,adpcm_enc,optimized,11552,1887369,724,421070,264561
guarded,insertsort,raw,1952,7291,200,4169,3429
guarded,insertsort,optimized,1622,5349,136,2125,1843
guarded,matrix1,raw,1766,112416,182,76131,46179
guarded,matrix1,optimized,1044,69106,68,24373,13969
guarded,matrix1-multidimensional,raw,2314,187704,210,121727,87303
guarded,matrix1-multidimensional,optimized,1494,106651,88,53741,31777
guarded,binarysearch,raw,1074,9179,134,2001,1483
guarded,binarysearch,optimized,754,8302,68,885,737
guarded,sha,raw,5238,25989,862,19235,16114
guarded,sha,optimized,3196,14924,452,8453,7090
guarded,jfdctint,raw,9416,47358,1504,26794,20342
guarded,jfdctint,optimized,6632,35567,742,13560,10432
guarded,jfdctint-multidimensional,raw,11684,54526,2316,31322,25870
guarded,jfdctint-multidimensional,optimized,7558,38991,886,15398,12982
guarded,adpcm_dec,raw,10408,18258,818,12053,9404
guarded,adpcm_dec,optimized,8382,13509,692,8300,6340
guarded,adpcm_enc,raw,13612,2401055,842,1142310,688221
guarded,adpcm_enc,optimized,10682,1886577,724,421070,264561
conservative,insertsort,raw,3258,14029,224,7222,6482
conservative,insertsort,optimized,2938,12332,168,6508,5588
conservative,matrix1,raw,3062,201032,194,115814,85862
conservative,matrix1,optimized,2422,164353,128,98756,68796
conservative,matrix1-multidimensional,raw,3560,310415,222,198578,138554
conservative,matrix1-multidimensional,optimized,2624,186294,124,124556,83780
conservative,binarysearch,raw,1910,12098,146,2751,2233
conservative,binarysearch,optimized,1744,11517,104,2307,1789
conservative,sha,raw,9592,39039,886,25244,22123
conservative,sha,optimized,8632,31052,588,20825,16680
conservative,jfdctint,raw,11874,63649,1592,35515,29063
conservative,jfdctint,optimized,8532,52566,814,25747,19295
conservative,jfdctint-multidimensional,raw,16434,79525,2428,46851,37303
conservative,jfdctint-multidimensional,optimized,9644,56042,970,29163,22047
conservative,adpcm_dec,raw,15048,27747,826,16939,14290
conservative,adpcm_dec,optimized,13386,24478,728,15185,12634
conservative,adpcm_enc,raw,19588,2997966,866,1388096,933983
conservative,adpcm_enc,optimized,17188,2649278,760,1024194,661479
