benchmark,nir,code_bytes,instructions,max_frame_bytes,stack_read_bytes,stack_write_bytes
insertsort,raw,2448,11987,224,4278,3538
insertsort,optimized,2242,10617,182,3506,2586
matrix1,raw,2156,177617,194,77758,47806
matrix1,optimized,1790,162876,166,72256,42304
binarysearch,raw,1374,9873,146,2203,1685
binarysearch,optimized,1222,9156,126,1383,1105
sha,raw,6866,33792,886,19497,16376
sha,optimized,5926,28606,786,16178,12033
jfdctint,raw,8940,54177,1592,27623,21171
jfdctint,optimized,7402,47129,1304,20823,16099
adpcm_dec,raw,11228,24445,826,12421,9772
adpcm_dec,optimized,10258,22924,794,10569,8144
adpcm_enc,raw,14680,2518236,866,1157859,703746
adpcm_enc,optimized,13032,2304120,802,712374,441361
