configuration,benchmark,nir,code_bytes,instructions,max_frame_bytes,stack_read_bytes,stack_write_bytes
current,insertsort,raw,1934,7379,200,4169,3429
current,insertsort,optimized,1610,5572,140,2125,1843
current,matrix1,raw,1712,114612,182,76131,46179
current,matrix1,optimized,990,72336,68,24753,14349
no-alignment,insertsort,raw,2196,11200,200,4169,3429
no-alignment,insertsort,optimized,1872,9393,140,2125,1843
no-alignment,matrix1,raw,1908,166112,182,76131,46179
no-alignment,matrix1,optimized,1186,123836,68,24753,14349
no-control-flow,insertsort,raw,2186,8166,224,4278,3538
no-control-flow,insertsort,optimized,1862,6359,164,2234,1952
no-control-flow,matrix1,raw,1960,126117,194,77758,47806
no-control-flow,matrix1,optimized,1238,83841,80,26380,15976
no-allocation,insertsort,raw,1934,7379,224,4169,3429
no-allocation,insertsort,optimized,1726,5957,172,3473,2553
no-allocation,matrix1,raw,1712,114612,194,76131,46179
no-allocation,matrix1,optimized,1328,89476,128,85061,55101
conservative-promotion,insertsort,raw,1934,7379,200,4169,3429
conservative-promotion,insertsort,optimized,1654,5686,150,2277,1959
conservative-promotion,matrix1,raw,1712,114612,182,76131,46179
conservative-promotion,matrix1,optimized,1294,99363,146,69427,39867
conservative,insertsort,raw,3258,14029,224,7222,6482
conservative,insertsort,optimized,2990,12700,182,6614,5694
conservative,matrix1,raw,3062,201032,194,115814,85862
conservative,matrix1,optimized,2480,185880,158,109704,79744
