# Generated by tools/generate_binarysearch_vectors.py; do not edit.
# LONGINT: cases=233 if_while_outcomes=6/6
# BYTE: cases=460 if_while_outcomes=6/6
# INT: cases=231 if_while_outcomes=6/6
# CARD: cases=229 if_while_outcomes=6/6
# cases=1153
# type label command query seed data expected_seed expected_data result
LONGINT upstream 0 00000080 52a4f27f ffffff7f00000080ffffff7f00000080ffffff7f00000080ffffff7f00000080ffffff7f00000080ffffff7f00000080ffffff7f00000080ffffff7f00000080ffffff7f00000080ffffff7f00000080ffffff7f00000080ffffff7f00000080ffffff7f00000080ffffff7f00000080ffffff7f00000080 98110000 51000000c70a0000c10a0000a307000020040000620b00000a1c0000d81d0000e6100000b60200000a0d0000f91a00007f0e0000081f0000bb100000fe0b0000390e0000491a0000ec110000580c00005c1d0000b80f0000eb030000780f00004a0200002c140000011b0000a7120000a20e000098110000 ffffffff
LONGINT boundary--2147483648 1 00000080 7d4d3d40 00000080ffffff7f01000080feffff7f0000ffff00000001ff7fffff000001000080ffffffff0000ffffffff0080000000000000ff7f00000100000001000000ff7f00000000000000800000ffffffffffff00000080ffff00000100ff7fffff000000010000fffffeffff7f01000080ffffff7f00000080 7d4d3d40 00000080ffffff7f01000080feffff7f0000ffff00000001ff7fffff000001000080ffffffff0000ffffffff0080000000000000ff7f00000100000001000000ff7f00000000000000800000ffffffffffff00000080ffff00000100ff7fffff000000010000fffffeffff7f01000080ffffff7f00000080 ffffff7f
LONGINT boundary--2147483647 1 01000080 5a236d33 00000080ffffff7f01000080feffff7f0000ffff00000001ff7fffff000001000080ffffffff0000ffffffff0080000000000000ff7f00000100000001000000ff7f00000000000000800000ffffffffffff00000080ffff00000100ff7fffff000000010000fffffeffff7f01000080ffffff7f00000080 5a236d33 00000080ffffff7f01000080feffff7f0000ffff00000001ff7fffff000001000080ffffffff0000ffffffff0080000000000000ff7f00000100000001000000ff7f00000000000000800000ffffffffffff00000080ffff00000100ff7fffff000000010000fffffeffff7f01000080ffffff7f00000080 feffff7f
LONGINT boundary--2147483646 1 02000080 890adcb3 00000080ffffff7f01000080feffff7f0000ffff00000001ff7fffff000001000080ffffffff0000ffffffff0080000000000000ff7f00000100000001000000ff7f00000000000000800000ffffffffffff00000080ffff00000100ff7fffff000000010000fffffeffff7f01000080ffffff7f00000080 890adcb3 00000080ffffff7f01000080feffff7f0000ffff00000001ff7fffff000001000080ffffffff0000ffffffff0080000000000000ff7f00000100000001000000ff7f00000000000000800000ffffffffffff00000080ffff00000100ff7fffff000000010000fffffeffff7f01000080ffffff7f00000080 ffffffff
LONGINT boundary--65537 1 fffffeff 3bc4c603 00000080ffffff7f01000080feffff7f0000ffff00000001ff7fffff000001000080ffffffff0000ffffffff0080000000000000ff7f00000100000001000000ff7f00000000000000800000ffffffffffff00000080ffff00000100ff7fffff000000010000fffffeffff7f01000080ffffff7f00000080 3bc4c603 00000080ffffff7f01000080feffff7f0000ffff00000001ff7fffff000001000080ffffffff0000ffffffff0080000000000000ff7f00000100000001000000ff7f00000000000000800000ffffffffffff00000080ffff00000100ff7fffff000000010000fffffeffff7f01000080ffffff7f00000080 ffffffff
LONGINT boundary--65536 1 0000ffff 54e34ac7 00000080ffffff7f01000080feffff7f0000ffff00000001ff7fffff000001000080ffffffff0000ffffffff0080000000000000ff7f00000100000001000000ff7f00000000000000800000ffffffffffff00000080ffff00000100ff7fffff000000010000fffffeffff7f01000080ffffff7f00000080 54e34ac7 00000080ffffff7f01000080feffff7f0000ffff00000001ff7fffff000001000080ffffffff0000ffffffff0080000000000000ff7f00000100000001000000ff7f00000000000000800000ffffffffffff00000080ffff00000100ff7fffff000000010000fffffeffff7f01000080ffffff7f00000080 00000001
LONGINT boundary--65535 1 0100ffff 74d26b28 00000080ffffff7f01000080feffff7f0000ffff00000001ff7fffff000001000080ffffffff0000ffffffff0080000000000000ff7f00000100000001000000ff7f00000000000000800000ffffffffffff00000080ffff00000100ff7fffff000000010000fffffeffff7f01000080ffffff7f00000080 74d26b28 00000080ffffff7f01000080feffff7f0000ffff00000001ff7fffff000001000080ffffffff0000ffffffff0080000000000000ff7f00000100000001000000ff7f00000000000000800000ffffffffffff00000080ffff00000100ff7fffff000000010000fffffeffff7f01000080ffffff7f00000080 ffffffff
LONGINT boundary--32770 1 fe7fffff 36d42396 00000080ffffff7f01000080feffff7f0000ffff00000001ff7fffff000001000080ffffffff0000ffffffff0080000000000000ff7f00000100000001000000ff7f00000000000000800000ffffffffffff00000080ffff00000100ff7fffff000000010000fffffeffff7f01000080ffffff7f00000080 36d42396 00000080ffffff7f01000080feffff7f0000ffff00000001ff7fffff000001000080ffffffff0000ffffffff0080000000000000ff7f00000100000001000000ff7f00000000000000800000ffffffffffff00000080ffff00000100ff7fffff000000010000fffffeffff7f01000080ffffff7f00000080 ffffffff
LONGINT boundary--32769 1 ff7fffff 548817d0 00000080ffffff7f01000080feffff7f0000ffff00000001ff7fffff000001000080ffffffff0000ffffffff0080000000000000ff7f00000100000001000000ff7f00000000000000800000ffffffffffff00000080ffff00000100ff7fffff000000010000fffffeffff7f01000080ffffff7f00000080 548817d0 00000080ffffff7f01000080feffff7f0000ffff00000001ff7fffff000001000080ffffffff0000ffffffff0080000000000000ff7f00000100000001000000ff7f00000000000000800000ffffffffffff00000080ffff00000100ff7fffff000000010000fffffeffff7f01000080ffffff7f00000080 00000100
LONGINT boundary--32768 1 0080ffff d7620c5b 00000080ffffff7f01000080feffff7f0000ffff00000001ff7fffff000001000080ffffffff0000ffffffff0080000000000000ff7f00000100000001000000ff7f00000000000000800000ffffffffffff00000080ffff00000100ff7fffff000000010000fffffeffff7f01000080ffffff7f00000080 d7620c5b 00000080ffffff7f01000080feffff7f0000ffff00000001ff7fffff000001000080ffffffff0000ffffffff0080000000000000ff7f00000100000001000000ff7f00000000000000800000ffffffffffff00000080ffff00000100ff7fffff000000010000fffffeffff7f01000080ffffff7f00000080 ffff0000
