# Generated by tools/generate_insertsort_vectors.py; do not edit.
# cases=209 if_while_outcomes=12/12
# label command input_stats24 input_values44 expected_stats24 expected_values44 result
upstream 0 ffffffffffffffffffffffffffffffffffffffffffffffff efbeaddeefbeaddeefbeaddeefbeaddeefbeaddeefbeaddeefbeaddeefbeaddeefbeaddeefbeaddeefbeadde 090000000900000009000000090000000100000009000000 0000000002000000030000000400000005000000060000000700000008000000090000000a0000000b000000 0
ascending 1 00000000a08601000000000000000000a086010000000000 0000000002000000030000000400000005000000060000000700000008000000090000000a0000000b000000 090000000900000009000000000000000000000000000000 0000000002000000030000000400000005000000060000000700000008000000090000000a0000000b000000 0
descending 1 00000000a08601000000000000000000a086010000000000 000000000b0000000a0000000900000008000000070000000600000005000000040000000300000002000000 090000000900000009000000090000000100000009000000 0000000002000000030000000400000005000000060000000700000008000000090000000a0000000b000000 0
all-zero 1 00000000a08601000000000000000000a086010000000000 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 090000000900000009000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 1
all-max 1 00000000a08601000000000000000000a086010000000000 00000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff 090000000900000009000000000000000000000000000000 00000000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff 1
alternating 1 00000000a08601000000000000000000a086010000000000 00000000ffffffff00000000ffffffff00000000ffffffff00000000ffffffff00000000ffffffff00000000 090000000900000009000000050000000000000005000000 000000000000000000000000000000000000000000000000ffffffffffffffffffffffffffffffffffffffff 1
duplicates 1 00000000a08601000000000000000000a086010000000000 0000000009000000030000000900000003000000000000000900000000000000030000000900000000000000 090000000900000009000000070000000000000007000000 0000000000000000000000000000000003000000030000000300000009000000090000000900000009000000 1
word-boundaries 1 00000000a08601000000000000000000a086010000000000 0000000000000100ffff000000010000ff00000000800000ff7f00000000000001000000800000007f000000 090000000900000009000000070000000100000007000000 0000000000000000010000007f00000080000000ff00000000010000ff7f000000800000ffff000000000100 1
signed-boundaries 1 00000000a08601000000000000000000a086010000000000 00000000ffffffffffffff7f00000080000000000100008001000000fefffffffeffff7f00000001ffffff00 090000000900000009000000070000000100000007000000 000000000000000001000000ffffff0000000001feffff7fffffff7f0000008001000080feffffffffffffff 1
last-minimum 1 00000000a08601000000000000000000a086010000000000 0000000001000000020000000300000004000000050000000600000007000000080000000900000000000000 090000000900000009000000090000000000000009000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
first-maximum 1 00000000a08601000000000000000000a086010000000000 00000000ffffffff000000000100000002000000030000000400000005000000060000000700000008000000 090000000900000009000000010000000100000001000000 00000000000000000100000002000000030000000400000005000000060000000700000008000000ffffffff 1
checksum-wrap-65 1 00000000a08601000000000000000000a086010000000000 00000000ffffffff420000000000000000000000000000000000000000000000000000000000000000000000 090000000900000009000000020000000100000002000000 00000000000000000000000000000000000000000000000000000000000000000000000042000000ffffffff 0
sentinel-00000001 1 00000000a08601000000000000000000a086010000000000 010000000a000000090000000800000007000000060000000500000004000000030000000200000001000000 090000000900000009000000090000000100000009000000 010000000100000002000000030000000400000005000000060000000700000008000000090000000a000000 1
sentinel-12345678 1 00000000a08601000000000000000000a086010000000000 7856341281563412805634127f5634127e5634127d5634127c5634127b5634127a5634127956341278563412 090000000900000009000000090000000100000009000000 7856341278563412795634127a5634127b5634127c5634127d5634127e5634127f5634128056341281563412 1
sentinel-80000000 1 00000000a08601000000000000000000a086010000000000 0000008009000080080000800700008006000080050000800400008003000080020000800100008000000080 090000000900000009000000090000000100000009000000 0000008000000080010000800200008003000080040000800500008006000080070000800800008009000080 1
sentinel-fffffff0 1 00000000a08601000000000000000000a086010000000000 f0fffffff9fffffff8fffffff7fffffff6fffffff5fffffff4fffffff3fffffff2fffffff1fffffff0ffffff 090000000900000009000000090000000100000009000000 f0fffffff0fffffff1fffffff2fffffff3fffffff4fffffff5fffffff6fffffff7fffffff8fffffff9ffffff 1
permutation-000 1 00000000a08601000000000000000000a086010000000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000000000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-001 1 00000000a08601000000000000000000a086010000000000 0000000000000000010000000200000004000000030000000500000006000000070000000800000009000000 090000000900000009000000000000000000000001000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-002 1 00000000a08601000000000000000000a086010000000000 0000000000000000010000000300000002000000040000000500000006000000070000000800000009000000 090000000900000009000000000000000000000001000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
permutation-003 1 00000000a08601000000000000000000a086010000000000 0000000000000000010000000300000004000000020000000500000006000000070000000800000009000000 090000000900000009000000000000000000000002000000 0000000000000000010000000200000003000000040000000500000006000000070000000800000009000000 1
