# Generated by tools/generate_jfdctint_vectors.py; do not edit.
# 181 cases; 8/8 loop outcomes; 6/6 descale sign outcomes; 155 native C checks
# label command shift input initialized rows output checksum status
upstream 0 0 ffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7f d60000007f6f000085ed0000e56600007f750000890b000083fe0000e43a0000e39800008f6e0000d5700000349f0000a7b6000072e5000002350000768a0000e6ef00004ba300009cd60000cc7f00008f650000d0c30000c6bb0000908e00006b110000f10c00008cb900006d66000027370000b0a70000181f0000d927000022b4000058960000571c000092b900008b690000bed50000760c0000a57900004933000058a500005ee700009f340000075700002137000092a400008080000013c3000095590000e88a0000212b00008c680000435100004a380000e03e0000d1aa00003ebf0000ea5b000012c100000f4f0000451300003403000056aa0000 b8fc0d0060d3feff82b5fdffd8d4faff38c4faffc4170300f940fcff55f9050030cc110056d6ffff3775fdff04d5020070fd010005fffdffb8380300a9b8fdff38751500f1000200aa9f0200182a010050a9fdffea490200a18102002e7f000074900900799affff7b56fbffe1b2feff4c26fdff48100100eb760500026effff1c970f00a4de0100228cffff1c84030004f002009d66feff6eb50100286bf9ff609f0e002f5b0000bd2f0100572efbff185cfbffc029fffff473ffff37a40300a80e0c007deb03007a9f01004cca0100589e00008f050000027302002a8d0200a45b0e0045d90400f21c02008939fcff9cce0400c456feff3be2feffb88efcff d7db1d00edd002004a66ffff478ffeff95d2feff6b170000377c02009cf2ffff707c0000e7e00000883dffff90aa00006ef90000c8d9ffff862c00006ca4ffff2e33000075e8000004f900009979ffff1821ffff932d000026920000cea300000a4f00007c6200002852ffffda630000e24affff2eeeffff9060ffffcc02ffff1fe4fcfff4c1ffff3ef4fdff6813fefffd0101004c5b000090abfeff00befdff0ba300000daeffffd370ffff9a5c00006502000079a20000c88700002113ffff1d77000064d7ffff7836000064c9ffff77cc00004c63ffffcb28ffff9c9200002ef200001ca8ffff87650000f620ffffccb8ffffa1b800001c43ffffd5960000 1c741900 0000
constant-0 1 0 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 00000000 ffff
constant-1 1 0 01000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000 01000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000 20000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000 40000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 40000000 ffff
constant--1 1 0 ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff e0ffffff00000000000000000000000000000000000000000000000000000000e0ffffff00000000000000000000000000000000000000000000000000000000e0ffffff00000000000000000000000000000000000000000000000000000000e0ffffff00000000000000000000000000000000000000000000000000000000e0ffffff00000000000000000000000000000000000000000000000000000000e0ffffff00000000000000000000000000000000000000000000000000000000e0ffffff00000000000000000000000000000000000000000000000000000000e0ffffff00000000000000000000000000000000000000000000000000000000 c0ffffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 c0ffffff ffff
constant-127 1 0 7f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f000000 7f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f0000007f000000 e00f000000000000000000000000000000000000000000000000000000000000e00f000000000000000000000000000000000000000000000000000000000000e00f000000000000000000000000000000000000000000000000000000000000e00f000000000000000000000000000000000000000000000000000000000000e00f000000000000000000000000000000000000000000000000000000000000e00f000000000000000000000000000000000000000000000000000000000000e00f000000000000000000000000000000000000000000000000000000000000e00f000000000000000000000000000000000000000000000000000000000000 c01f0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 c01f0000 ffff
constant--128 1 0 80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff 80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff80ffffff 00f0ffff0000000000000000000000000000000000000000000000000000000000f0ffff0000000000000000000000000000000000000000000000000000000000f0ffff0000000000000000000000000000000000000000000000000000000000f0ffff0000000000000000000000000000000000000000000000000000000000f0ffff0000000000000000000000000000000000000000000000000000000000f0ffff0000000000000000000000000000000000000000000000000000000000f0ffff0000000000000000000000000000000000000000000000000000000000f0ffff00000000000000000000000000000000000000000000000000000000 00e0ffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 00e0ffff ffff
constant-32767 1 0 ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000 ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000ff7f0000 e0ff0f0000000000000000000000000000000000000000000000000000000000e0ff0f0000000000000000000000000000000000000000000000000000000000e0ff0f0000000000000000000000000000000000000000000000000000000000e0ff0f0000000000000000000000000000000000000000000000000000000000e0ff0f0000000000000000000000000000000000000000000000000000000000e0ff0f0000000000000000000000000000000000000000000000000000000000e0ff0f0000000000000000000000000000000000000000000000000000000000e0ff0f0000000000000000000000000000000000000000000000000000000000 c0ff1f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 c0ff1f00 ffff
constant--32768 1 0 0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff 0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff0080ffff 0000f0ff000000000000000000000000000000000000000000000000000000000000f0ff000000000000000000000000000000000000000000000000000000000000f0ff000000000000000000000000000000000000000000000000000000000000f0ff000000000000000000000000000000000000000000000000000000000000f0ff000000000000000000000000000000000000000000000000000000000000f0ff000000000000000000000000000000000000000000000000000000000000f0ff000000000000000000000000000000000000000000000000000000000000f0ff00000000000000000000000000000000000000000000000000000000 0000e0ff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0000e0ff ffff
constant-65535 1 0 ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000 ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000ffff0000 e0ff1f0000000000000000000000000000000000000000000000000000000000e0ff1f0000000000000000000000000000000000000000000000000000000000e0ff1f0000000000000000000000000000000000000000000000000000000000e0ff1f0000000000000000000000000000000000000000000000000000000000e0ff1f0000000000000000000000000000000000000000000000000000000000e0ff1f0000000000000000000000000000000000000000000000000000000000e0ff1f0000000000000000000000000000000000000000000000000000000000e0ff1f0000000000000000000000000000000000000000000000000000000000 c0ff3f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 c0ff3f00 ffff
constant-2147483647 1 0 ffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7f ffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7fffffff7f e0ffffff00000000000000000000000000000000000000000000000000000000e0ffffff00000000000000000000000000000000000000000000000000000000e0ffffff00000000000000000000000000000000000000000000000000000000e0ffffff00000000000000000000000000000000000000000000000000000000e0ffffff00000000000000000000000000000000000000000000000000000000e0ffffff00000000000000000000000000000000000000000000000000000000e0ffffff00000000000000000000000000000000000000000000000000000000e0ffffff00000000000000000000000000000000000000000000000000000000 c0ffffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 c0ffffff ffff
