# Generated by tools/generate_sha_vectors.py; do not edit.
# SHA-0 state_bytes=92 output_bytes=412 vectors=155
# label command state_hex message_hex_or_dash expected_state_and_schedule_hex
abc 0 e5c8be069a7c666c9af7c4469a4a3ddb72859611e9a2a1f720ecdf9df085e87322f9f50e11ebb55b0e47cd28a7c064bb4f6308ce17b855727ebb6d0c82314e61806d77f3c9677e40d810cc929746ec3c23ef029cbbae62c82a0140e2 616263 a9b864015e2acd14fff7c474974d2c0880f8edf11800000000000000806362610000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000180000008063626100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001800000080636261000000001800000080636261000000001800000080636261180000009863626180636261000000001800000080636261000000001800000080636261000000001800000098636261806362611800000098636261806362610000000000000000000000001800000098636261806362610000000000000000180000009863626198636261806362611800000080636261180000009863626198636261986362619863626180636261180000009863626180636261180000008063626100000000000000000000000018000000806362610000000000000000000000001800000080636261180000009863626180636261180000008063626100000000
fips-56 0 db75c4d7f66f76d7f98528ff39424a3cbb7de75f0cf10f2d1d67193ea0be464dbbc565177997bb8d03bf535b5111b513ecde6d3e4d5817ddf17ed4e70baeef4344b14078ce0dd81a7e9bb857f980d9dfefbd8af2b986cca4f394bf47 6162636462636465636465666465666765666768666768696768696a68696a6b696a6b6c6a6b6c6d6b6c6d6e6c6d6e6f6d6e6f706e6f7071 e16e51d2af5bfaacc4c1df334438e471c834f19ec001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c0010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c00100000000000000000000c00100000000000000000000c001000000000000c0010000c00100000000000000000000c00100000000000000000000c00100000000000000000000c0010000c001000000000000c0010000c001000000000000000000000000000000000000c0010000c0010000000000000000000000000000c0010000c0010000c001000000000000c001000000000000c0010000c0010000c0010000c0010000c001000000000000c0010000c001000000000000c001000000000000000000000000000000000000c001000000000000000000000000000000000000c001000000000000c0010000c001000000000000c00100000000000000000000
ramp-0 0 592bb69a75eb42120f97656c6e414bc047f0110ccb4b1833e1b4810faa1bedc4f22c9aa020db0bcb324e4fa974806be9aa2feddb48cb835456b7613087a0a22366a00e8803822aa215db93236eec6e12c242f84414f5ff8f7f142baf - 19ea6cf956ddd18a4a08ac1710c6923defc008770000000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000000000000000080000000000000000000000080000000000000008000000080000000000000000000000080000000000000000000000080000000000000000000000080000000800000000000000080000000800000000000000000000000000000000000000080000000800000000000000000000000000000008000000080000000800000000000000080000000000000008000000080000000800000008000000080000000000000008000000080000000000000008000000000000000000000000000000000000000800000000000000000000000000000000000000080000000000000008000000080000000000000008000000000
ramp-1 0 ac3cd3d3e082503077a69a0d5740a13a315bf815eb59f781d2a52711c65698242cef124838aa5db063e6d6fffd46d64abb834aab5b37b47ea4ae31114f31e6bc1f0d5f66096edb29ff85b6a642ef588668a9a46ba93b55a474c8400c 00 9109e2c674eaa5c49e7add7f0521e53c754ea7040800000000000000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000008000000000000800000000008000000000000800000000008000080000000800800000008000000000000800000000008000000000000800000000008000000000000800000008008000000080000800000008008000000080000000000000000000000000000800000008008000000080000000000000000000080000000800800008008000000080000800000000008000080000000800800008008000080080000800800000008000080000000800800000008000080000000000800000000000000000000000000008000000000080000000000000000000000000000800000000008000080000000800800000008000080000000000800000000000
ramp-2 0 5a743b1d8bfb0142cfed951857765f48ca238e0e4c42de9020af1762de80531eacb5bbb6c2a86025134ea0c2557e5af103765f6fc1c67c43b1f0d2049c4052005d730cf135b4b632a0946c8100ce031a99a48e10052dc76ee023be9c 0001 17d16b7c851309154d862c67097bcf278112ae401000000000000000008001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000080010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000800100000000001000000000800100000000001000000000800100100000001080010000800100000000001000000000800100000000001000000000800100000000001000000010800100008001001000000010800100008001000000000000000000000000001000000010800100008001000000000000000000100000001080010010800100008001001000000000800100100000001080010010800100108001001080010000800100100000001080010000800100100000000080010000000000000000000000000010000000008001000000000000000000000000001000000000800100100000001080010000800100100000000080010000000000
ramp-3 0 2d8780849597f16e0e7c03faf9dbd3dd9f0637cb6b8e2560205fb5d63bf639f8c144d300eae41c0d5717b86cb4c7dae2bd85bc698f5462519e7efd4af1370d4cb08dae7d04ba1a61dbf43e0243fda37f00d07656268419c17eb62632 000102 418ea8d5d5a02a2632d0a57ba4f919051a78ebf91800000000000000800201000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000180000008002010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001800000080020100000000001800000080020100000000001800000080020100180000009802010080020100000000001800000080020100000000001800000080020100000000001800000098020100800201001800000098020100800201000000000000000000000000001800000098020100800201000000000000000000180000009802010098020100800201001800000080020100180000009802010098020100980201009802010080020100180000009802010080020100180000008002010000000000000000000000000018000000800201000000000000000000000000001800000080020100180000009802010080020100180000008002010000000000
ramp-4 0 e0ce9da32c22328239b532ddcb68803ad47a02f2caef27f2d05543d2721e110aab66c5883d5a6a8243a2cc89bc7e730f460c0583a7f65dc5a41a767fbc76646236a40ea450d70e549026c9f0232c12056817998cb538d1c0cb5b1a78 00010203 81b8eb5631e4365ee7a9a36822c63d2fc71be2502000000000000000030201000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000302010000000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000003020100000000802000000003020100000000802000000003020100200000802302010003020180000000802000000003020100000000802000000003020100000000802000000023020100030201802000008023020100030201800000008000000000000000002000000023020100030201800000008000000000200000002302010023020180030201802000008003020100200000802302010023020180230201802302018003020180200000802302010003020180200000800302010000000080000000000000000020000000030201000000008000000000000000002000000003020100200000802302010003020180200000800302010000000080
ramp-5 0 676d0119a35f89dcd7185a27b65ae2f3e7f052996d89f5c73fafd944be09793b999cfb9ea9fb9546c26dd038aad9e8708171639fd3852a856da57a76b25a58b9b58b8733d10a45d279176c25a1b17b2311197f861b6c9aa00c6ac4c9 0001020304 86e66792db94a8c8893738af1bd57baa8c4c562d2800000000000000030201000000800400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000280000000302010000008004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002800000003020100000080042800000003020100000080042800000003020100280080042b0201000302810400008004280000000302010000008004280000000302010000008004280000002b02010003028104280080042b02010003028104000080040000000000000000280000002b020100030281040000800400000000280000002b0201002b028104030281042800800403020100280080042b0201002b0281042b0281042b02810403028104280080042b02010003028104280080040302010000008004000000000000000028000000030201000000800400000000000000002800000003020100280080042b02010003028104280080040302010000008004
ramp-6 0 d093344b1f9d59a7486e68131e2a83e6c4bdd3cdb039cdaab94198f137a6ad1bd221eb2693e0bdc72e7ccbd79a95c1d8bd2ff00cfbdea122bdbebf4d0cf0d8ad844ffd4c3858d18eadad655160dc7bf49037037eeaa45dbf947b61b2 000102030405 858e2cbf40cea42d3f30a803a5d0c87468e3b9243000000000000000030201000080050400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000300000000302010000800504000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003000000003020100008005043000000003020100008005043000000003020100308005043302010003820404008005043000000003020100008005043000000003020100008005043000000033020100038204043080050433020100038204040080050400000000000000003000000033020100038204040080050400000000300000003302010033820404038204043080050403020100308005043302010033820404338204043382040403820404308005043302010003820404308005040302010000800504000000000000000030000000030201000080050400000000000000003000000003020100308005043302010003820404308005040302010000800504
ramp-7 0 700daef9a8a2bc869cca7f4a8d036c95561732c577444537235f00097a89ed6f7ad2633934d95178fe3d147bce9ab5f01f7a8aa808dfa6e3596d09ad178c9f379b0c54d83293d35db74e9b4ba682f2f9f35e0c7bde975c0eff1b4ac9 00010203040506 29139a67d640bd65777bb98d580143a0153603a23800000000000000030201008006050400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000380000000302010080060504000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003800000003020100800605043800000003020100800605043800000003020100b80605043b0201008304040480060504380000000302010080060504380000000302010080060504380000003b02010083040404b80605043b02010083040404800605040000000000000000380000003b020100830404048006050400000000380000003b020100bb04040483040404b806050403020100b80605043b020100bb040404bb040404bb04040483040404b80605043b02010083040404b80605040302010080060504000000000000000038000000030201008006050400000000000000003800000003020100b80605043b02010083040404b80605040302010080060504
ramp-8 0 aea0069f058edc81ad438fbe2b60c45dfe94a0c9a84d3a4a6ba645fc6e90facce50d9582304de5085658147685ecd543039568b06b80be04172a5cc021459ddd6022ae5d6a2d81c0ac9ad247ca51d3406fd470184283207caf71832c 0001020304050607 769f03a308114ddbd5b93d87406f6207655480fb4000000000000000030201000706050400000080000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000302010007060504000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000003020180070605044000008003020180070605044000008003020180470605044302010004040484070605844000008003020180070605044000008003020180070605044000008043020180040404844706058443020100040404840706058400000080000000004000000043020180040404840706058400000080400000004302018044040484040404044706058403020100470605044302010044040484440404044404040404040404470605844302010004040484470605840302010007060504000000800000000040000000030201800706050400000080000000004000000003020180470605044302010004040484470605840302010007060504
