# source	action	type	offset	bytes
statemate_bitlist	bitlist	BYTE	0	64
statemate_tm_entered_EINSCHALTSTROM_MESSEN_BLOCK_ERKENNUNG_CTRLch_BLOCK_ERKENNUNG_CTRL__N_copy	tmMeasure	LONGCARD	64	4
statemate_tm_entered_WIEDERHOLSPERRE_FH_TUERMODUL_CTRLexited_BEREIT_FH_TUERMODUL_CTRL	tmReady	LONGCARD	68	4
statemate_tm_entered_WIEDERHOLSPERRE_FH_TUERMODUL_CTRL	tmRepeat	LONGCARD	72	4
statemate_sc_FH_TUERMODUL_CTRL_2375_2	sc_DoorCtl_2375_2	LONGCARD	76	4
statemate_sc_FH_TUERMODUL_CTRL_2352_1	sc_DoorCtl_2352_1	LONGCARD	80	4
statemate_sc_FH_TUERMODUL_CTRL_2329_1	sc_DoorCtl_2329_1	LONGCARD	84	4
statemate_FH_TUERMODUL_CTRL__N	DoorCtl_N	INT	88	2
statemate_FH_TUERMODUL_CTRL__N_old	DoorCtl_N_old	INT	90	2
statemate_sc_FH_TUERMODUL_CTRL_1781_10	sc_DoorCtl_1781_10	LONGCARD	92	4
statemate_sc_FH_TUERMODUL_CTRL_1739_10	sc_DoorCtl_1739_10	LONGCARD	96	4
statemate_FH_TUERMODUL__POSITION	Door_POSITION	INT	100	2
statemate_FH_TUERMODUL__I_EIN	Door_I_EIN	INT	102	2
statemate_FH_TUERMODUL__I_EIN_old	Door_I_EIN_old	INT	104	2
statemate_FH_DU__MFH	Unit_MFH	INT	106	2
statemate_FH_DU__MFH_copy	Unit_MFH_copy	INT	108	2
statemate_FH_DU__POSITION	Unit_POSITION	INT	110	2
statemate_FH_DU__I_EIN	Unit_I_EIN	INT	112	2
statemate_FH_DU__I_EIN_old	Unit_I_EIN_old	INT	114	2
statemate_BLOCK_ERKENNUNG_CTRL__I_EIN_MAX	Block_I_EIN_MAX	INT	116	2
statemate_BLOCK_ERKENNUNG_CTRL__N	Block_N	INT	118	2
statemate_BLOCK_ERKENNUNG_CTRL__N_old	Block_N_old	INT	120	2
statemate_FH_TUERMODUL_CTRL__INREVERS2	DoorCtl_INREVERS2	BYTE	122	1
