name	scope	class	vtype	address	slot	name_addr	numargs	args
Alloc	global	CARD FUNC	$C4	$2D5F	$8A	$9500	1	CARD
allocbuf	global	BYTE ARRAY	$92	$2D46	$14	$94E4	0	
allocp	global	CARD ARRAY	$94	$00E8	$7F	$9486	0	
allTagged	global	BYTE	$8A	$38E0	$FF	$97DD	0	
ans	global	BYTE	$8A	$38EB	$DE	$985A	0	
Ascii	global	BYTE FUNC	$CA	$2E49	$95	$9594	1	CHAR
Attrib	global	PROC	$C0	$4DDE	$49	$9A5A	0	
Bget	global	PROC	$C8	$306C	$0D	$9667	3	BYTE,CARD,CARD
Block	global	PROC	$C8	$2EE3	$B4	$95CF	3	BYTE,BYTE,BYTE
Bput	global	PROC	$C8	$308C	$52	$9673	3	BYTE,CARD,CARD
buffer	global	BYTE ARRAY	$92	$38C2	$21	$9773	0	
c	global	BYTE	$8A	$38E1	$2A	$97EA	0	
CalcAdr	global	PROC	$C8	$2E0C	$0E	$955E	0	
Cio	global	PROC	$C8	$2F90	$E7	$960F	0	
CLEAR	global	DEFINE `$00`	$1B		$BE	$9528	0	
Close	global	PROC	$C8	$3041	$FD	$964F	1	BYTE
CloseAll	global	PROC	$C8	$3A72	$B6	$98D0	0	
CloseWindow	global	PROC	$C0	$328D	$25	$96CE	0	
cnt	global	BYTE	$8A	$38E2	$F5	$97EF	0	
Convert	global	PROC	$C0	$3F41	$B7	$992D	1	BYTE ARRAY
Copy	global	PROC	$C0	$5168	$66	$9A8F	0	
copyflag	global	BYTE	$8A	$38E9	$0C	$9842	0	
currentDir	global	CARD ARRAY	$94	$38E7	$01	$9834	0	
currentDirSh	global	CARD	$8C	$38E3	$30	$97F6	0	
delcancel	global	PROC	$C8	$48B7	$A0	$99DE	0	
Delete	global	PROC	$C8	$4A84	$1E	$9A37	0	
density	global	PROC	$C8	$48CE	$37	$99EC	0	
Dir	global	PROC	$C8	$47E9	$F6	$99BF	0	
dirnames	global	CARD ARRAY	$94	$38C8	$94	$9790	0	
dirsectors	global	CARD ARRAY	$94	$38C6	$11	$9782	0	
dos	global	BYTE	$8A	$0700	$02	$980F	0	
dostst	global	BYTE	$8A	$076F	$3A	$9816	0	
Draw	global	PROC	$C0	$3CF3	$64	$98FE	1	BYTE
DrawMenu	global	PROC	$C0	$3628	$93	$973D	1	BYTE ARRAY
DrawWinFrame	global	PROC	$C8	$3DF7	$61	$991C	0	
drive	global	BYTE	$8A	$070B	$4B	$982B	0	
drives	global	PROC	$C8	$4872	$09	$99D3	0	
driveSh	global	BYTE	$8A	$38DF	$7B	$97D2	0	
dummy	global	CARD	$8C	$38E5	$73	$9806	0	
EOL	global	DEFINE `155`	$1B		$07	$9421	0	
Error	global	PROC	$C0	$2F8D	$9D	$9605	0	
ESC	global	DEFINE `27`	$1B		$06	$942D	0	
false	global	DEFINE `0`	$1B		$29	$9415	0	
files	global	BYTE	$8A	$38DD	$5A	$97BC	0	
FILL	global	DEFINE `$40`	$1B		$7A	$9536	0	
FindItem	global	CARD FUNC	$C4	$35CD	$B0	$972E	2	BYTE ARRAY,CHAR
FindNext	global	BYTE FUNC	$C2	$41E3	$C9	$9998	1	BYTE
fname	global	BYTE ARRAY	$9A	$38CC	$57	$979C	0	
Fnamecmp	global	BYTE FUNC	$C2	$3A85	$9B	$98DD	2	CHAR ARRAY,CHAR ARRAY
fnamelen	global	BYTE	$8A	$38CC	$A2	$97A5	0	
Format	global	PROC	$C0	$4B6D	$B9	$9A42	0	
frame	global	CHAR ARRAY	$99	$30CA	$78	$969B	0	
Free	global	PROC	$C0	$2D89	$8B	$950B	1	CARD
GetAnyKey	global	PROC	$C8	$3A40	$9A	$98AB	0	
Getchar	global	CHAR FUNC	$C9	$2E5A	$20	$959F	0	
GetD	global	CHAR FUNC	$C9	$2FF8	$8F	$962D	1	BYTE
GetImage	global	PROC	$C8	$2F2A	$1B	$95DC	3	CARD,BYTE,BYTE
GoTo	global	PROC	$C0	$493F	$BD	$9A22	1	BYTE
h	global	BYTE	$8A	$38EC	$38	$9861	0	
Handle	global	PROC	$C0	$5552	$5C	$9AB6	0	
i	global	BYTE	$8A	$00E0	$3B	$9438	0	
Init	global	PROC	$C0	$3838	$D8	$976A	0	
InitPannels	global	PROC	$C0	$591F	$AD	$9AC1	0	
Input	global	PROC	$C8	$304C	$43	$965A	3	BYTE,CARD,BYTE
InputLine	global	BYTE FUNC	$C2	$33AF	$79	$96EB	3	CHAR ARRAY,BYTE,BYTE
